CYCLE	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	CMDPOS7	out_0.0	in_0.0	
1987	0.000	0.000	0.000	0.000	0.000	0	0	
1988	0.000	0.000	0.000	0.000	0.000	0	0	
1989	0.000	0.000	0.000	0.000	0.000	0	0	
1990	0.000	0.000	0.000	0.000	0.000	0	0	
1991	0.000	0.000	0.000	0.000	0.000	0	0	
1992	0.000	0.000	0.000	0.000	0.000	0	0	
1993	0.001	0.000	0.000	0.000	0.000	0	0	
1994	0.002	0.000	0.000	0.000	0.000	0	0	
1995	0.004	0.000	0.000	0.000	0.000	0	0	
1996	0.007	0.000	0.000	0.000	0.000	0	0	
1997	0.011	0.000	0.000	0.000	0.000	0	0	
1998	0.017	0.000	0.000	0.000	0.000	0	0	
1999	0.024	0.000	0.000	0.000	0.000	0	0	
2000	0.033	0.000	0.000	0.000	0.000	0	0	
2001	0.044	0.000	0.000	0.000	0.000	0	0	
2002	0.058	0.000	0.000	0.000	0.000	0	0	
2003	0.073	0.000	0.000	0.000	0.000	0	0	
2004	0.091	0.000	0.000	0.000	0.000	0	0	
2005	0.112	0.000	0.000	0.000	0.000	0	0	
2006	0.137	0.000	0.000	0.000	0.000	0	0	
2007	0.164	0.000	0.000	0.000	0.000	0	0	
2008	0.194	0.000	0.000	0.000	0.000	0	0	
2009	0.229	0.000	0.000	0.000	0.000	0	0	
2010	0.267	0.000	0.000	0.000	0.000	0	0	
2011	0.309	0.000	0.000	0.000	0.000	0	0	
2012	0.355	0.000	0.000	0.000	0.000	0	0	
2013	0.406	0.000	0.000	0.000	0.000	0	0	
2014	0.461	0.000	0.000	0.000	0.000	0	0	
2015	0.521	0.000	0.000	0.000	0.000	0	0	
2016	0.586	0.000	0.000	0.000	0.000	0	0	
2017	0.656	0.000	0.000	0.000	0.000	0	0	
2018	0.732	0.000	0.000	0.000	0.000	0	0	
2019	0.813	0.000	0.000	0.000	0.000	0	0	
2020	0.900	0.000	0.000	0.000	0.000	0	0	
2021	0.993	0.000	0.000	0.000	0.000	0	0	
2022	1.092	0.000	0.000	0.000	0.000	0	0	
2023	1.198	0.000	0.000	0.000	0.000	0	0	
2024	1.310	0.000	0.000	0.000	0.000	0	0	
2025	1.429	0.000	0.000	0.000	0.000	0	0	
2026	1.555	0.000	0.000	0.000	0.000	0	0	
2027	1.688	0.000	0.000	0.000	0.000	0	0	
2028	1.829	0.000	0.000	0.000	0.000	0	0	
2029	1.977	0.000	0.000	0.000	0.000	0	0	
2030	2.133	0.000	0.000	0.000	0.000	0	0	
2031	2.297	0.000	0.000	0.000	0.000	0	0	
2032	2.470	0.000	0.000	0.000	0.000	0	0	
2033	2.650	0.000	0.000	0.000	0.000	0	0	
2034	2.839	0.000	0.000	0.000	0.000	0	0	
2035	3.037	0.000	0.000	0.000	0.000	0	0	
2036	3.245	0.000	0.000	0.000	0.000	0	0	
2037	3.461	0.000	0.000	0.000	0.000	0	0	
2038	3.686	0.000	0.000	0.000	0.000	0	0	
2039	3.922	0.000	0.000	0.000	0.000	0	0	
2040	4.167	0.000	0.000	0.000	0.000	0	0	
2041	4.422	0.000	0.000	0.000	0.000	0	0	
2042	4.687	0.000	0.000	0.000	0.000	0	0	
2043	4.962	0.000	0.000	0.000	0.000	0	0	
2044	5.247	0.000	0.000	0.000	0.000	0	0	
2045	5.542	0.000	0.000	0.000	0.000	0	0	
2046	5.847	0.000	0.000	0.000	0.000	0	0	
2047	6.162	0.000	0.000	0.000	0.000	0	0	
2048	6.487	0.000	0.000	0.000	0.000	0	0	
2049	6.822	0.000	0.000	0.000	0.000	0	0	
2050	7.167	0.000	0.000	0.000	0.000	0	0	
2051	7.522	0.000	0.000	0.000	0.000	0	0	
2052	7.887	0.000	0.000	0.000	0.000	0	0	
2053	8.262	0.000	0.000	0.000	0.000	0	0	
2054	8.647	0.000	0.000	0.000	0.000	0	0	
2055	9.042	0.000	0.000	0.000	0.000	0	0	
2056	9.447	0.000	0.000	0.000	0.000	0	0	
2057	9.862	0.000	0.000	0.000	0.000	0	0	
2058	10.287	0.000	0.000	0.000	0.000	0	0	
2059	10.722	0.000	0.000	0.000	0.000	0	0	
2060	11.167	0.000	0.000	0.000	0.000	0	0	
2061	11.622	0.000	0.000	0.000	0.000	0	0	
2062	12.087	0.000	0.000	0.000	0.000	0	0	
2063	12.562	0.000	0.000	0.000	0.000	0	0	
2064	13.047	0.000	0.000	0.000	0.000	0	0	
2065	13.542	0.000	0.000	0.000	0.000	0	0	
2066	14.047	0.000	0.000	0.000	0.000	0	0	
2067	14.562	0.000	0.000	0.000	0.000	0	0	
2068	15.087	0.000	0.000	0.000	0.000	0	0	
2069	15.622	0.000	0.000	0.000	0.000	0	0	
2070	16.167	0.000	0.000	0.000	0.000	0	0	
2071	16.722	0.000	0.000	0.000	0.000	0	0	
2072	17.287	0.000	0.000	0.000	0.000	0	0	
2073	17.862	0.000	0.000	0.000	0.000	0	0	
2074	18.447	0.000	0.000	0.000	0.000	0	0	
2075	19.042	0.000	0.000	0.000	0.000	0	0	
2076	19.647	0.000	0.000	0.000	0.000	0	0	
2077	20.262	0.000	0.000	0.000	0.000	0	0	
2078	20.887	0.000	0.000	0.000	0.000	0	0	
2079	21.522	0.000	0.000	0.000	0.000	0	0	
2080	22.167	0.000	0.000	0.000	0.000	0	0	
2081	22.822	0.000	0.000	0.000	0.000	0	0	
2082	23.487	0.000	0.000	0.000	0.000	0	0	
2083	24.162	0.000	0.000	0.000	0.000	0	0	
2084	24.847	0.000	0.000	0.000	0.000	0	0	
2085	25.542	0.000	0.000	0.000	0.000	0	0	
2086	26.247	0.000	0.000	0.000	0.000	0	0	
2087	26.962	0.000	0.000	0.000	0.000	0	0	
2088	27.687	0.000	0.000	0.000	0.000	0	0	
2089	28.422	0.000	0.000	0.000	0.000	0	0	
2090	29.167	0.000	0.000	0.000	0.000	0	0	
2091	29.922	0.000	0.000	0.000	0.000	0	0	
2092	30.686	0.000	0.000	0.000	0.000	0	0	
2093	31.461	0.000	0.000	0.000	0.000	0	0	
2094	32.245	0.000	0.000	0.000	0.000	0	0	
2095	33.038	0.000	0.000	0.000	0.000	0	0	
2096	33.839	0.000	0.000	0.000	0.000	0	0	
2097	34.650	0.000	0.000	0.000	0.000	0	0	
2098	35.470	0.000	0.000	0.000	0.000	0	0	
2099	36.297	0.000	0.000	0.000	0.000	0	0	
2100	37.133	0.000	0.000	0.000	0.000	0	0	
2101	37.977	0.000	0.000	0.000	0.000	0	0	
2102	38.829	0.000	0.000	0.000	0.000	0	0	
2103	39.688	0.000	0.000	0.000	0.000	0	0	
2104	40.555	0.000	0.000	0.000	0.000	0	0	
2105	41.429	0.000	0.000	0.000	0.000	0	0	
2106	42.310	0.000	0.000	0.000	0.000	0	0	
2107	43.198	0.000	0.000	0.000	0.000	0	0	
2108	44.092	0.000	0.000	0.000	0.000	0	0	
2109	44.993	0.000	0.000	0.000	0.000	0	0	
2110	45.900	0.000	0.000	0.000	0.000	0	0	
2111	46.813	0.000	0.000	0.000	0.000	0	0	
2112	47.732	0.000	0.000	0.000	0.000	0	0	
2113	48.656	0.000	0.000	0.000	0.000	0	0	
2114	49.586	0.000	0.000	0.000	0.000	0	0	
2115	50.521	0.000	0.000	0.000	0.000	0	0	
2116	51.461	0.000	0.000	0.000	0.000	0	0	
2117	52.406	0.000	0.000	0.000	0.000	0	0	
2118	53.355	0.000	0.000	0.000	0.000	0	0	
2119	54.309	0.000	0.000	0.000	0.000	0	0	
2120	55.267	0.000	0.000	0.000	0.000	0	0	
2121	56.229	0.000	0.000	0.000	0.000	0	0	
2122	57.194	0.000	0.000	0.000	0.000	0	0	
2123	58.164	0.000	0.000	0.000	0.000	0	0	
2124	59.137	0.000	0.000	0.000	0.000	0	0	
2125	60.113	0.000	0.000	0.000	0.000	0	0	
2126	61.091	0.000	0.000	0.000	0.000	0	0	
2127	62.073	0.000	0.000	0.000	0.000	0	0	
2128	63.058	0.000	0.000	0.000	0.000	0	0	
2129	64.044	0.000	0.000	0.000	0.000	0	0	
2130	65.033	0.000	0.000	0.000	0.000	0	0	
2131	66.024	0.000	0.000	0.000	0.000	0	0	
2132	67.017	0.000	0.000	0.000	0.000	0	0	
2133	68.011	0.000	0.000	0.000	0.000	0	0	
2134	69.007	0.000	0.000	0.000	0.000	0	0	
2135	70.004	0.000	0.000	0.000	0.000	0	0	
2136	71.002	0.000	0.000	0.000	0.000	0	0	
2137	72.001	0.000	0.000	0.000	0.000	0	0	
2138	73.000	0.000	0.000	0.000	0.000	0	0	
2139	74.000	0.000	0.000	0.000	0.000	0	0	
2140	75.000	0.000	0.000	0.000	0.000	0	0	
2141	76.000	0.000	0.000	0.000	0.000	0	0	
2142	77.000	0.000	0.000	0.000	0.000	0	0	
2143	78.000	0.000	0.000	0.000	0.000	0	0	
2144	79.000	0.000	0.000	0.000	0.000	0	0	
2145	80.000	0.000	0.000	0.000	0.000	0	0	
2146	81.000	0.000	0.000	0.000	0.000	0	0	
2147	82.000	0.000	0.000	0.000	0.000	0	0	
2148	83.000	0.000	0.000	0.000	0.000	0	0	
2149	84.000	0.000	0.000	0.000	0.000	0	0	
2150	85.000	0.000	0.000	0.000	0.000	0	0	
2151	86.000	0.000	0.000	0.000	0.000	0	0	
2152	87.000	0.000	0.000	0.000	0.000	0	0	
2153	88.000	0.000	0.000	0.000	0.000	0	0	
2154	89.000	0.000	0.000	0.000	0.000	0	0	
2155	90.000	0.000	0.000	0.000	0.000	0	0	
2156	91.000	0.000	0.000	0.000	0.000	0	0	
2157	92.000	0.000	0.000	0.000	0.000	0	0	
2158	93.000	0.000	0.000	0.000	0.000	0	0	
2159	94.000	0.000	0.000	0.000	0.000	0	0	
2160	95.000	0.000	0.000	0.000	0.000	0	0	
2161	96.000	0.000	0.000	0.000	0.000	0	0	
2162	97.000	0.000	0.000	0.000	0.000	0	0	
2163	98.000	0.000	0.000	0.000	0.000	0	0	
2164	99.000	0.000	0.000	0.000	0.000	0	0	
2165	100.000	0.000	0.000	0.000	0.000	0	0	
2166	101.000	0.000	0.000	0.000	0.000	0	0	
2167	102.000	0.000	0.000	0.000	0.000	0	0	
2168	103.000	0.000	0.000	0.000	0.000	0	0	
2169	104.000	0.000	0.000	0.000	0.000	0	0	
2170	105.000	0.000	0.000	0.000	0.000	0	0	
2171	106.000	0.000	0.000	0.000	0.000	0	0	
2172	107.000	0.000	0.000	0.000	0.000	0	0	
2173	108.000	0.000	0.000	0.000	0.000	0	0	
2174	109.000	0.000	0.000	0.000	0.000	0	0	
2175	110.000	0.000	0.000	0.000	0.000	0	0	
2176	111.000	0.000	0.000	0.000	0.000	0	0	
2177	112.000	0.000	0.000	0.000	0.000	0	0	
2178	113.000	0.000	0.000	0.000	0.000	0	0	
2179	114.000	0.000	0.000	0.000	0.000	0	0	
2180	115.000	0.000	0.000	0.000	0.000	0	0	
2181	116.000	0.000	0.000	0.000	0.000	0	0	
2182	117.000	0.000	0.000	0.000	0.000	0	0	
2183	118.000	0.000	0.000	0.000	0.000	0	0	
2184	119.000	0.000	0.000	0.000	0.000	0	0	
2185	120.000	0.000	0.000	0.000	0.000	0	0	
2186	121.000	0.000	0.000	0.000	0.000	0	0	
2187	122.000	0.000	0.000	0.000	0.000	0	0	
2188	123.000	0.000	0.000	0.000	0.000	0	0	
2189	124.000	0.000	0.000	0.000	0.000	0	0	
2190	125.000	0.000	0.000	0.000	0.000	0	0	
2191	126.000	0.000	0.000	0.000	0.000	0	0	
2192	127.000	0.000	0.000	0.000	0.000	0	0	
2193	128.000	0.000	0.000	0.000	0.000	0	0	
2194	129.000	0.000	0.000	0.000	0.000	0	0	
2195	130.000	0.000	0.000	0.000	0.000	0	0	
2196	131.000	0.000	0.000	0.000	0.000	0	0	
2197	132.000	0.000	0.000	0.000	0.000	0	0	
2198	133.000	0.000	0.000	0.000	0.000	0	0	
2199	134.000	0.000	0.000	0.000	0.000	0	0	
2200	135.000	0.000	0.000	0.000	0.000	0	0	
2201	136.000	0.000	0.000	0.000	0.000	0	0	
2202	137.000	0.000	0.000	0.000	0.000	0	0	
2203	138.000	0.000	0.000	0.000	0.000	0	0	
2204	139.000	0.000	0.000	0.000	0.000	0	0	
2205	140.000	0.000	0.000	0.000	0.000	0	0	
2206	141.000	0.000	0.000	0.000	0.000	0	0	
2207	142.000	0.000	0.000	0.000	0.000	0	0	
2208	143.000	0.000	0.000	0.000	0.000	0	0	
2209	144.000	0.000	0.000	0.000	0.000	0	0	
2210	145.000	0.000	0.000	0.000	0.000	0	0	
2211	146.000	0.000	0.000	0.000	0.000	0	0	
2212	147.000	0.000	0.000	0.000	0.000	0	0	
2213	148.000	0.000	0.000	0.000	0.000	0	0	
2214	149.000	0.000	0.000	0.000	0.000	0	0	
2215	150.000	0.000	0.000	0.000	0.000	0	0	
2216	151.000	0.000	0.000	0.000	0.000	0	0	
2217	152.000	0.000	0.000	0.000	0.000	0	0	
2218	153.000	0.000	0.000	0.000	0.000	0	0	
2219	154.000	0.000	0.000	0.000	0.000	0	0	
2220	155.000	0.000	0.000	0.000	0.000	0	0	
2221	156.000	0.000	0.000	0.000	0.000	0	0	
2222	157.000	0.000	0.000	0.000	0.000	0	0	
2223	158.000	0.000	0.000	0.000	0.000	0	0	
2224	159.000	0.000	0.000	0.000	0.000	0	0	
2225	160.000	0.000	0.000	0.000	0.000	0	0	
2226	161.000	0.000	0.000	0.000	0.000	0	0	
2227	162.000	0.000	0.000	0.000	0.000	0	0	
2228	163.000	0.000	0.000	0.000	0.000	0	0	
2229	164.000	0.000	0.000	0.000	0.000	0	0	
2230	165.000	0.000	0.000	0.000	0.000	0	0	
2231	166.000	0.000	0.000	0.000	0.000	0	0	
2232	167.000	0.000	0.000	0.000	0.000	0	0	
2233	168.000	0.000	0.000	0.000	0.000	0	0	
2234	169.000	0.000	0.000	0.000	0.000	0	0	
2235	170.000	0.000	0.000	0.000	0.000	0	0	
2236	171.000	0.000	0.000	0.000	0.000	0	0	
2237	172.000	0.000	0.000	0.000	0.000	0	0	
2238	173.000	0.000	0.000	0.000	0.000	0	0	
2239	174.000	0.000	0.000	0.000	0.000	0	0	
2240	175.000	0.000	0.000	0.000	0.000	0	0	
2241	176.000	0.000	0.000	0.000	0.000	0	0	
2242	177.000	0.000	0.000	0.000	0.000	0	0	
2243	178.000	0.000	0.000	0.000	0.000	0	0	
2244	179.000	0.000	0.000	0.000	0.000	0	0	
2245	180.000	0.000	0.000	0.000	0.000	0	0	
2246	181.000	0.000	0.000	0.000	0.000	0	0	
2247	182.000	0.000	0.000	0.000	0.000	0	0	
2248	183.000	0.000	0.000	0.000	0.000	0	0	
2249	184.000	0.000	0.000	0.000	0.000	0	0	
2250	185.000	0.000	0.000	0.000	0.000	0	0	
2251	186.000	0.000	0.000	0.000	0.000	0	0	
2252	187.000	0.000	0.000	0.000	0.000	0	0	
2253	188.000	0.000	0.000	0.000	0.000	0	0	
2254	189.000	0.000	0.000	0.000	0.000	0	0	
2255	190.000	0.000	0.000	0.000	0.000	0	0	
2256	191.000	0.000	0.000	0.000	0.000	0	0	
2257	192.000	0.000	0.000	0.000	0.000	0	0	
2258	193.000	0.000	0.000	0.000	0.000	0	0	
2259	194.000	0.000	0.000	0.000	0.000	0	0	
2260	195.000	0.000	0.000	0.000	0.000	0	0	
2261	196.000	0.000	0.000	0.000	0.000	0	0	
2262	197.000	0.000	0.000	0.000	0.000	0	0	
2263	198.000	0.000	0.000	0.000	0.000	0	0	
2264	199.000	0.000	0.000	0.000	0.000	0	0	
2265	200.000	0.000	0.000	0.000	0.000	0	0	
2266	201.000	0.000	0.000	0.000	0.000	0	0	
2267	202.000	0.000	0.000	0.000	0.000	0	0	
2268	203.000	0.000	0.000	0.000	0.000	0	0	
2269	204.000	0.000	0.000	0.000	0.000	0	0	
2270	205.000	0.000	0.000	0.000	0.000	0	0	
2271	206.000	0.000	0.000	0.000	0.000	0	0	
2272	207.000	0.000	0.000	0.000	0.000	0	0	
2273	208.000	0.000	0.000	0.000	0.000	0	0	
2274	209.000	0.000	0.000	0.000	0.000	0	0	
2275	210.000	0.000	0.000	0.000	0.000	0	0	
2276	211.000	0.000	0.000	0.000	0.000	0	0	
2277	212.000	0.000	0.000	0.000	0.000	0	0	
2278	213.000	0.000	0.000	0.000	0.000	0	0	
2279	214.000	0.000	0.000	0.000	0.000	0	0	
2280	215.000	0.000	0.000	0.000	0.000	0	0	
2281	216.000	0.000	0.000	0.000	0.000	0	0	
2282	217.000	0.000	0.000	0.000	0.000	0	0	
2283	218.000	0.000	0.000	0.000	0.000	0	0	
2284	219.000	0.000	0.000	0.000	0.000	0	0	
2285	220.000	0.000	0.000	0.000	0.000	0	0	
2286	221.000	0.000	0.000	0.000	0.000	0	0	
2287	222.000	0.000	0.000	0.000	0.000	0	0	
2288	223.000	0.000	0.000	0.000	0.000	0	0	
2289	224.000	0.000	0.000	0.000	0.000	0	0	
2290	225.000	0.000	0.000	0.000	0.000	0	0	
2291	226.000	0.000	0.000	0.000	0.000	0	0	
2292	227.000	0.000	0.000	0.000	0.000	0	0	
2293	228.000	0.000	0.000	0.000	0.000	0	0	
2294	229.000	0.000	0.000	0.000	0.000	0	0	
2295	230.000	0.000	0.000	0.000	0.000	0	0	
2296	230.999	0.000	0.000	0.000	0.000	0	0	
2297	231.998	0.000	0.000	0.000	0.000	0	0	
2298	232.996	0.000	0.000	0.000	0.000	0	0	
2299	233.993	0.000	0.000	0.000	0.000	0	0	
2300	234.989	0.000	0.000	0.000	0.000	0	0	
2301	235.983	0.000	0.000	0.000	0.000	0	0	
2302	236.976	0.000	0.000	0.000	0.000	0	0	
2303	237.967	0.000	0.000	0.000	0.000	0	0	
2304	238.956	0.000	0.000	0.000	0.000	0	0	
2305	239.942	0.000	0.000	0.000	0.000	0	0	
2306	240.927	0.000	0.000	0.000	0.000	0	0	
2307	241.909	0.000	0.000	0.000	0.000	0	0	
2308	242.887	0.000	0.000	0.000	0.000	0	0	
2309	243.863	0.000	0.000	0.000	0.000	0	0	
2310	244.836	0.000	0.000	0.000	0.000	0	0	
2311	245.806	0.000	0.000	0.000	0.000	0	0	
2312	246.771	0.000	0.000	0.000	0.000	0	0	
2313	247.733	0.000	0.000	0.000	0.000	0	0	
2314	248.691	0.000	0.000	0.000	0.000	0	0	
2315	249.645	0.000	0.000	0.000	0.000	0	0	
2316	250.594	0.000	0.000	0.000	0.000	0	0	
2317	251.539	0.000	0.000	0.000	0.000	0	0	
2318	252.479	0.000	0.000	0.000	0.000	0	0	
2319	253.414	0.000	0.000	0.000	0.000	0	0	
2320	254.344	0.000	0.000	0.000	0.000	0	0	
2321	255.268	0.000	0.000	0.000	0.000	0	0	
2322	256.187	0.000	0.000	0.000	0.000	0	0	
2323	257.100	0.000	0.000	0.000	0.000	0	0	
2324	258.007	0.000	0.000	0.000	0.000	0	0	
2325	258.908	0.000	0.000	0.000	0.000	0	0	
2326	259.802	0.000	0.000	0.000	0.000	0	0	
2327	260.690	0.000	0.000	0.000	0.000	0	0	
2328	261.571	0.000	0.000	0.000	0.000	0	0	
2329	262.445	0.000	0.000	0.000	0.000	0	0	
2330	263.312	0.000	0.000	0.000	0.000	0	0	
2331	264.171	0.000	0.000	0.000	0.000	0	0	
2332	265.023	0.000	0.000	0.000	0.000	0	0	
2333	265.867	0.000	0.000	0.000	0.000	0	0	
2334	266.703	0.000	0.000	0.000	0.000	0	0	
2335	267.530	0.000	0.000	0.000	0.000	0	0	
2336	268.350	0.000	0.000	0.000	0.000	0	0	
2337	269.161	0.000	0.000	0.000	0.000	0	0	
2338	269.962	0.000	0.000	0.000	0.000	0	0	
2339	270.755	0.000	0.000	0.000	0.000	0	0	
2340	271.539	0.000	0.000	0.000	0.000	0	0	
2341	272.314	0.000	0.000	0.000	0.000	0	0	
2342	273.078	0.000	0.000	0.000	0.000	0	0	
2343	273.833	0.000	0.000	0.000	0.000	0	0	
2344	274.578	0.000	0.000	0.000	0.000	0	0	
2345	275.313	0.000	0.000	0.000	0.000	0	0	
2346	276.038	0.000	0.000	0.000	0.000	0	0	
2347	276.753	0.000	0.000	0.000	0.000	0	0	
2348	277.458	0.000	0.000	0.000	0.000	0	0	
2349	278.153	0.000	0.000	0.000	0.000	0	0	
2350	278.838	0.000	0.000	0.000	0.000	0	0	
2351	279.513	0.000	0.000	0.000	0.000	0	0	
2352	280.178	0.000	0.000	0.000	0.000	0	0	
2353	280.833	0.000	0.000	0.000	0.000	0	0	
2354	281.478	0.000	0.000	0.000	0.000	0	0	
2355	282.113	0.000	0.000	0.000	0.000	0	0	
2356	282.738	0.000	0.000	0.000	0.000	0	0	
2357	283.353	0.000	0.000	0.000	0.000	0	0	
2358	283.958	0.000	0.000	0.000	0.000	0	0	
2359	284.553	0.000	0.000	0.000	0.000	0	0	
2360	285.138	0.000	0.000	0.000	0.000	0	0	
2361	285.713	0.000	0.000	0.000	0.000	0	0	
2362	286.278	0.000	0.000	0.000	0.000	0	0	
2363	286.833	0.000	0.000	0.000	0.000	0	0	
2364	287.378	0.000	0.000	0.000	0.000	0	0	
2365	287.913	0.000	0.000	0.000	0.000	0	0	
2366	288.438	0.000	0.000	0.000	0.000	0	0	
2367	288.953	0.000	0.000	0.000	0.000	0	0	
2368	289.458	0.000	0.000	0.000	0.000	0	0	
2369	289.953	0.000	0.000	0.000	0.000	0	0	
2370	290.438	0.000	0.000	0.000	0.000	0	0	
2371	290.913	0.000	0.000	0.000	0.000	0	0	
2372	291.378	0.000	0.000	0.000	0.000	0	0	
2373	291.833	0.000	0.000	0.000	0.000	0	0	
2374	292.278	0.000	0.000	0.000	0.000	0	0	
2375	292.713	0.000	0.000	0.000	0.000	0	0	
2376	293.138	0.000	0.000	0.000	0.000	0	0	
2377	293.553	0.000	0.000	0.000	0.000	0	0	
2378	293.958	0.000	0.000	0.000	0.000	0	0	
2379	294.353	0.000	0.000	0.000	0.000	0	0	
2380	294.738	0.000	0.000	0.000	0.000	0	0	
2381	295.113	0.000	0.000	0.000	0.000	0	0	
2382	295.478	0.000	0.000	0.000	0.000	0	0	
2383	295.833	0.000	0.000	0.000	0.000	0	0	
2384	296.178	0.000	0.000	0.000	0.000	0	0	
2385	296.513	0.000	0.000	0.000	0.000	0	0	
2386	296.838	0.000	0.000	0.000	0.000	0	0	
2387	297.153	0.000	0.000	0.000	0.000	0	0	
2388	297.458	0.000	0.000	0.000	0.000	0	0	
2389	297.753	0.000	0.000	0.000	0.000	0	0	
2390	298.038	0.000	0.000	0.000	0.000	0	0	
2391	298.313	0.000	0.000	0.000	0.000	0	0	
2392	298.578	0.000	0.000	0.000	0.000	0	0	
2393	298.833	0.000	0.000	0.000	0.000	0	0	
2394	299.078	0.000	0.000	0.000	0.000	0	0	
2395	299.314	0.000	0.000	0.000	0.000	0	0	
2396	299.539	0.000	0.000	0.000	0.000	0	0	
2397	299.755	0.000	0.000	0.000	0.000	0	0	
2398	299.962	0.000	0.000	0.000	0.000	0	0	
2399	300.161	0.000	0.000	0.000	0.000	0	0	
2400	300.350	0.000	0.000	0.000	0.000	0	0	
2401	300.530	0.000	0.000	0.000	0.000	0	0	
2402	300.703	0.000	0.000	0.000	0.000	0	0	
2403	300.867	0.000	0.000	0.000	0.000	0	0	
2404	301.023	0.000	0.000	0.000	0.000	0	0	
2405	301.171	0.000	0.000	0.000	0.000	0	0	
2406	301.312	0.000	0.000	0.000	0.000	0	0	
2407	301.445	0.000	0.000	0.000	0.000	0	0	
2408	301.571	0.000	0.000	0.000	0.000	0	0	
2409	301.690	0.000	0.000	0.000	0.000	0	0	
2410	301.802	0.000	0.000	0.000	0.000	0	0	
2411	301.908	0.000	0.000	0.000	0.000	0	0	
2412	302.007	0.000	0.000	0.000	0.000	0	0	
2413	302.100	0.000	0.000	0.000	0.000	0	0	
2414	302.187	0.000	0.000	0.000	0.000	0	0	
2415	302.268	0.000	0.000	0.000	0.000	0	0	
2416	302.344	0.000	0.000	0.000	0.000	0	0	
2417	302.414	0.000	0.000	0.000	0.000	0	0	
2418	302.479	0.000	0.000	0.000	0.000	0	0	
2419	302.539	0.000	0.000	0.000	0.000	0	0	
2420	302.594	0.000	0.000	0.000	0.000	0	0	
2421	302.645	0.000	0.000	0.000	0.000	0	0	
2422	302.691	0.000	0.000	0.000	0.000	0	0	
2423	302.733	0.000	0.000	0.000	0.000	0	0	
2424	302.771	0.000	0.000	0.000	0.000	0	0	
2425	302.806	0.000	0.000	0.000	0.000	0	0	
2426	302.836	0.000	0.000	0.000	0.000	0	0	
2427	302.863	0.000	0.000	0.000	0.000	0	0	
2428	302.887	0.000	0.000	0.000	0.000	0	0	
2429	302.909	0.000	0.000	0.000	0.000	0	0	
2430	302.927	0.000	0.000	0.000	0.000	0	0	
2431	302.942	0.000	0.000	0.000	0.000	0	0	
