CYCLE	CMDPOS4	CMPCMDPOS4	out_0.0	in_0.0	
1341	16.820	24.783	0	0	
1342	17.405	25.228	0	0	
1343	18.000	25.680	0	0	
1344	18.605	26.140	0	0	
1345	19.220	26.607	0	0	
1346	19.845	27.082	0	0	
1347	20.480	27.565	0	0	
1348	21.125	28.055	0	0	
1349	21.780	28.553	0	0	
1350	22.445	29.058	0	0	
1351	23.120	29.571	0	0	
1352	23.805	30.092	0	0	
1353	24.500	30.620	0	0	
1354	25.205	31.156	0	0	
1355	25.920	31.699	0	0	
1356	26.645	32.250	0	0	
1357	27.380	32.809	0	0	
1358	28.125	33.375	0	0	
1359	28.880	33.949	0	0	
1360	29.645	34.530	0	0	
1361	30.420	35.119	0	0	
1362	31.205	35.716	0	0	
1363	32.000	36.320	0	0	
1364	32.805	36.932	0	0	
1365	33.620	37.551	0	0	
1366	34.445	38.178	0	0	
1367	35.280	38.813	0	0	
1368	36.125	39.455	0	0	
1369	36.980	40.105	0	0	
1370	37.845	40.762	0	0	
1371	38.720	41.427	0	0	
1372	39.605	42.100	0	0	
1373	40.500	42.780	0	0	
1374	41.405	43.468	0	0	
1375	42.320	44.163	0	0	
1376	43.245	44.866	0	0	
1377	44.180	45.577	0	0	
1378	45.125	46.295	0	0	
1379	46.080	47.021	0	0	
1380	47.045	47.754	0	0	
1381	48.020	48.495	0	0	
1382	49.005	49.244	0	0	
1383	50.000	50.000	0	0	
1384	51.000	50.760	0	0	
1385	52.000	51.520	0	0	
1386	53.000	52.280	0	0	
1387	54.000	53.040	0	0	
1388	55.000	53.800	0	0	
1389	56.000	54.560	0	0	
1390	57.000	55.320	0	0	
1391	58.000	56.080	0	0	
1392	59.000	56.840	0	0	
1393	60.000	57.600	0	0	
1394	61.000	58.360	0	0	
1395	62.000	59.120	0	0	
1396	63.000	59.880	0	0	
1397	64.000	60.640	0	0	
1398	65.000	61.400	0	0	
1399	66.000	62.160	0	0	
1400	67.000	62.920	0	0	
1401	68.000	63.680	0	0	
1402	69.000	64.440	0	0	
1403	70.000	65.200	0	0	
1404	71.000	65.960	0	0	
1405	72.000	66.720	0	0	
1406	73.000	67.480	0	0	
1407	74.000	68.240	0	0	
1408	75.000	69.000	0	0	
1409	76.000	69.760	0	0	
1410	77.000	70.520	0	0	
1411	78.000	71.280	0	0	
1412	79.000	72.040	0	0	
1413	80.000	72.800	0	0	
1414	81.000	73.560	0	0	
1415	82.000	74.320	0	0	
1416	83.000	75.080	0	0	
1417	84.000	75.840	0	0	
1418	85.000	76.600	0	0	
1419	86.000	77.360	0	0	
1420	87.000	78.120	0	0	
1421	88.000	78.880	0	0	
1422	89.000	79.640	0	0	
1423	90.000	80.400	0	0	
1424	91.000	81.160	0	0	
1425	92.000	81.920	0	0	
1426	93.000	82.680	0	0	
1427	94.000	83.440	0	0	
1428	95.000	84.200	0	0	
1429	96.000	84.960	0	0	
1430	97.000	85.720	0	0	
1431	98.000	86.480	0	0	
1432	99.000	87.240	0	0	
1433	100.000	88.000	0	0	
1434	101.000	89.280	0	0	
1435	102.000	90.560	0	0	
1436	103.000	91.840	0	0	
1437	104.000	93.120	0	0	
1438	105.000	94.400	0	0	
1439	106.000	95.680	0	0	
1440	107.000	96.960	0	0	
1441	108.000	98.240	0	0	
1442	109.000	99.520	0	0	
1443	110.000	100.800	0	0	
1444	111.000	102.080	0	0	
1445	112.000	103.360	0	0	
1446	113.000	104.640	0	0	
1447	114.000	105.920	0	0	
1448	115.000	107.200	0	0	
1449	116.000	108.480	0	0	
1450	117.000	109.760	0	0	
1451	118.000	111.040	0	0	
1452	119.000	112.320	0	0	
1453	120.000	113.600	0	0	
1454	121.000	114.880	0	0	
1455	122.000	116.160	0	0	
1456	123.000	117.440	0	0	
1457	124.000	118.720	0	0	
1458	125.000	120.000	0	0	
1459	126.000	121.280	0	0	
1460	127.000	122.560	0	0	
1461	128.000	123.840	0	0	
1462	129.000	125.120	0	0	
1463	130.000	126.400	0	0	
1464	131.000	127.680	0	0	
1465	132.000	128.960	0	0	
1466	133.000	130.240	0	0	
1467	134.000	131.520	0	0	
1468	135.000	132.800	0	0	
1469	136.000	134.080	0	0	
1470	137.000	135.360	0	0	
1471	138.000	136.640	0	0	
1472	139.000	137.920	0	0	
1473	140.000	139.200	0	0	
1474	141.000	140.480	0	0	
1475	142.000	141.760	0	0	
1476	143.000	143.040	0	0	
1477	144.000	144.320	0	0	
1478	145.000	145.600	0	0	
1479	146.000	146.880	0	0	
1480	147.000	148.160	0	0	
1481	148.000	149.440	0	0	
1482	149.000	150.720	0	0	
1483	150.000	152.000	0	0	
1484	151.000	153.280	0	0	
1485	152.000	154.560	0	0	
1486	153.000	155.840	0	0	
1487	154.000	157.120	0	0	
1488	155.000	158.400	0	0	
1489	156.000	159.680	0	0	
1490	157.000	160.960	0	0	
1491	158.000	162.240	0	0	
1492	159.000	163.520	0	0	
1493	160.000	164.800	0	0	
1494	161.000	166.080	0	0	
1495	162.000	167.360	0	0	
1496	163.000	168.640	0	0	
1497	164.000	169.920	0	0	
1498	165.000	171.200	0	0	
1499	166.000	172.480	0	0	
1500	167.000	173.760	0	0	
1501	168.000	175.040	0	0	
1502	169.000	176.320	0	0	
1503	170.000	177.600	0	0	
1504	171.000	178.880	0	0	
1505	172.000	180.160	0	0	
1506	173.000	181.440	0	0	
1507	174.000	182.720	0	0	
1508	175.000	184.000	0	0	
1509	176.000	185.280	0	0	
1510	177.000	186.560	0	0	
1511	178.000	187.840	0	0	
1512	179.000	189.120	0	0	
1513	180.000	190.400	0	0	
1514	181.000	191.680	0	0	
1515	182.000	192.960	0	0	
1516	183.000	194.240	0	0	
1517	184.000	195.520	0	0	
1518	185.000	196.800	0	0	
1519	186.000	198.080	0	0	
1520	187.000	199.360	0	0	
1521	188.000	200.640	0	0	
1522	189.000	201.920	0	0	
1523	190.000	203.200	0	0	
1524	191.000	204.480	0	0	
1525	192.000	205.760	0	0	
1526	193.000	207.040	0	0	
1527	194.000	208.320	0	0	
1528	195.000	209.600	0	0	
1529	196.000	210.880	0	0	
1530	197.000	212.160	0	0	
1531	198.000	213.440	0	0	
1532	199.000	214.720	0	0	
1533	200.000	216.000	0	0	
1534	201.000	216.680	0	0	
1535	202.000	217.360	0	0	
1536	203.000	218.040	0	0	
1537	204.000	218.720	0	0	
1538	205.000	219.400	0	0	
1539	206.000	220.080	0	0	
1540	207.000	220.760	0	0	
1541	208.000	221.440	0	0	
1542	209.000	222.120	0	0	
1543	210.000	222.800	0	0	
1544	211.000	223.480	0	0	
1545	212.000	224.160	0	0	
1546	213.000	224.840	0	0	
1547	214.000	225.520	0	0	
1548	215.000	226.200	0	0	
1549	216.000	226.880	0	0	
1550	217.000	227.560	0	0	
1551	218.000	228.240	0	0	
1552	219.000	228.920	0	0	
1553	220.000	229.600	0	0	
1554	221.000	230.280	0	0	
1555	222.000	230.960	0	0	
1556	223.000	231.640	0	0	
1557	224.000	232.320	0	0	
1558	225.000	233.000	0	0	
1559	226.000	233.680	0	0	
1560	227.000	234.360	0	0	
1561	228.000	235.040	0	0	
1562	229.000	235.720	0	0	
1563	230.000	236.400	0	0	
1564	231.000	237.080	0	0	
1565	232.000	237.760	0	0	
1566	233.000	238.440	0	0	
1567	234.000	239.120	0	0	
1568	235.000	239.800	0	0	
1569	236.000	240.480	0	0	
1570	237.000	241.160	0	0	
1571	238.000	241.840	0	0	
1572	239.000	242.520	0	0	
1573	240.000	243.200	0	0	
1574	241.000	243.880	0	0	
1575	242.000	244.560	0	0	
1576	243.000	245.240	0	0	
1577	244.000	245.920	0	0	
1578	245.000	246.600	0	0	
1579	246.000	247.280	0	0	
1580	247.000	247.960	0	0	
1581	248.000	248.640	0	0	
1582	249.000	249.320	0	0	
1583	250.000	250.000	0	0	
1584	250.995	250.677	0	0	
1585	251.980	251.346	0	0	
1586	252.955	252.009	0	0	
1587	253.920	252.666	0	0	
1588	254.875	253.315	0	0	
1589	255.820	253.958	0	0	
1590	256.755	254.593	0	0	
1591	257.680	255.222	0	0	
1592	258.595	255.845	0	0	
1593	259.500	256.460	0	0	
1594	260.395	257.069	0	0	
1595	261.280	257.670	0	0	
1596	262.155	258.265	0	0	
1597	263.020	258.854	0	0	
1598	263.875	259.435	0	0	
1599	264.720	260.010	0	0	
1600	265.555	260.577	0	0	
1601	266.380	261.138	0	0	
1602	267.195	261.693	0	0	
1603	268.000	262.240	0	0	
1604	268.795	262.781	0	0	
1605	269.580	263.314	0	0	
1606	270.355	263.841	0	0	
1607	271.120	264.362	0	0	
1608	271.875	264.875	0	0	
1609	272.620	265.382	0	0	
1610	273.355	265.881	0	0	
1611	274.080	266.374	0	0	
1612	274.795	266.861	0	0	
1613	275.500	267.340	0	0	
1614	276.195	267.813	0	0	
1615	276.880	268.278	0	0	
1616	277.555	268.737	0	0	
1617	278.220	269.190	0	0	
1618	278.875	269.635	0	0	
1619	279.520	270.074	0	0	
1620	280.155	270.505	0	0	
1621	280.780	270.930	0	0	
1622	281.395	271.349	0	0	
1623	282.000	271.760	0	0	
1624	282.595	272.165	0	0	
1625	283.180	272.562	0	0	
1626	283.755	272.953	0	0	
1627	284.320	273.338	0	0	
1628	284.875	273.715	0	0	
1629	285.420	274.086	0	0	
1630	285.955	274.449	0	0	
1631	286.480	274.806	0	0	
1632	286.995	275.157	0	0	
1633	287.500	275.500	0	0	
1634	287.995	275.837	0	0	
1635	288.480	276.166	0	0	
1636	288.955	276.489	0	0	
1637	289.420	276.806	0	0	
1638	289.875	277.115	0	0	
1639	290.320	277.418	0	0	
1640	290.755	277.713	0	0	
1641	291.180	278.002	0	0	
1642	291.595	278.285	0	0	
1643	292.000	278.560	0	0	
1644	292.395	278.829	0	0	
1645	292.780	279.090	0	0	
1646	293.155	279.345	0	0	
1647	293.520	279.594	0	0	
1648	293.875	279.835	0	0	
1649	294.220	280.070	0	0	
1650	294.555	280.297	0	0	
1651	294.880	280.518	0	0	
1652	295.195	280.733	0	0	
1653	295.500	280.940	0	0	
1654	295.795	281.141	0	0	
1655	296.080	281.334	0	0	
1656	296.355	281.521	0	0	
1657	296.620	281.702	0	0	
1658	296.875	281.875	0	0	
1659	297.120	282.042	0	0	
1660	297.355	282.201	0	0	
1661	297.580	282.354	0	0	
1662	297.795	282.501	0	0	
1663	298.000	282.640	0	0	
1664	298.195	282.773	0	0	
1665	298.380	282.898	0	0	
1666	298.555	283.017	0	0	
1667	298.720	283.130	0	0	
1668	298.875	283.235	0	0	
1669	299.020	283.334	0	0	
1670	299.155	283.425	0	0	
1671	299.280	283.510	0	0	
1672	299.395	283.589	0	0	
1673	299.500	283.660	0	0	
1674	299.595	283.725	0	0	
1675	299.680	283.782	0	0	
1676	299.755	283.833	0	0	
1677	299.820	283.878	0	0	
1678	299.875	283.915	0	0	
1679	299.920	283.946	0	0	
1680	299.955	283.969	0	0	
1681	299.980	283.986	0	0	
1682	299.995	283.997	0	0	
1683	300.000	284.000	0	0	
1684	300.000	284.000	0	0	
1685	300.000	284.000	0	0	
1686	300.000	284.000	0	0	
1687	300.000	284.000	0	0	
1688	300.000	284.000	0	0	
1689	300.000	284.000	0	0	
1690	300.000	284.000	0	0	
1691	300.000	284.000	0	0	
1692	300.000	284.000	0	0	
1693	300.000	284.000	0	0	
1694	300.000	284.000	0	0	
1695	300.000	284.000	0	0	
1696	300.000	284.000	0	0	
1697	300.000	284.000	0	0	
1698	300.000	284.000	0	0	
1699	300.000	284.000	0	0	
1700	300.000	284.000	0	0	
1701	300.000	284.000	0	0	
1702	300.000	284.000	0	0	
1703	300.000	284.000	0	0	
1704	300.000	284.000	0	0	
1705	300.000	284.000	0	0	
1706	300.000	284.000	0	0	
1707	300.000	284.000	0	0	
1708	300.000	284.000	0	0	
1709	300.000	284.000	0	0	
1710	300.000	284.000	0	0	
1711	300.000	284.000	0	0	
1712	300.000	284.000	0	0	
1713	300.000	284.000	0	0	
1714	300.000	284.000	0	0	
1715	300.000	284.000	0	0	
1716	300.000	284.000	0	0	
1717	300.000	284.000	0	0	
1718	300.000	284.000	0	0	
1719	300.000	284.000	0	0	
1720	300.000	284.000	0	0	
1721	300.000	284.000	0	0	
1722	300.000	284.000	0	0	
1723	300.000	284.000	0	0	
1724	300.000	284.000	0	0	
1725	300.000	284.000	0	0	
1726	300.000	284.000	0	0	
1727	300.000	284.000	0	0	
1728	300.000	284.000	0	0	
1729	300.000	284.000	0	0	
1730	300.000	284.000	0	0	
1731	300.000	284.000	0	0	
1732	300.000	284.000	0	0	
1733	300.000	284.000	0	0	
1734	300.000	284.000	0	0	
1735	300.000	284.000	0	0	
1736	300.000	284.000	0	0	
1737	300.000	284.000	0	0	
1738	300.000	284.000	0	0	
1739	300.000	284.000	0	0	
1740	300.000	284.000	0	0	
1741	300.000	284.000	0	0	
1742	300.000	284.000	0	0	
1743	300.000	284.000	0	0	
1744	300.000	284.000	0	0	
1745	300.000	284.000	0	0	
1746	300.000	284.000	0	0	
1747	300.000	284.000	0	0	
1748	300.000	284.000	0	0	
1749	300.000	284.000	0	0	
1750	300.000	284.000	0	0	
1751	300.000	284.000	0	0	
1752	300.000	284.000	0	0	
1753	300.000	284.000	0	0	
1754	300.000	284.000	0	0	
1755	300.000	284.000	0	0	
1756	300.000	284.000	0	0	
1757	300.000	284.000	0	0	
