CYCLE	CMDPOS1	CMDPOS2	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	out_0.0	in_0.0	
134091	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134092	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134093	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134094	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134095	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134096	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134097	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134098	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134099	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134100	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134101	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134102	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134103	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134104	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134105	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134106	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134107	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134108	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134109	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134110	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134111	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134112	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134113	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134114	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134115	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134116	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134117	0.000	0.000	0.000	0.000	0.000	0.000	0	0	
134118	0.003	0.000	0.000	0.000	0.000	0.000	0	0	
134119	0.009	0.000	0.000	0.000	0.000	0.000	0	0	
134120	0.022	0.000	0.000	0.000	0.000	0.000	0	0	
134121	0.043	0.000	0.000	0.000	0.000	0.000	0	0	
134122	0.075	0.000	0.000	0.000	0.000	0.000	0	0	
134123	0.119	0.000	0.000	0.000	0.000	0.000	0	0	
134124	0.177	0.000	0.000	0.000	0.000	0.000	0	0	
134125	0.253	0.000	0.000	0.000	0.000	0.000	0	0	
134126	0.347	0.000	0.000	0.000	0.000	0.000	0	0	
134127	0.461	0.000	0.000	0.000	0.000	0.000	0	0	
134128	0.599	0.000	0.000	0.000	0.000	0.000	0	0	
134129	0.761	0.000	0.000	0.000	0.000	0.000	0	0	
134130	0.950	0.000	0.000	0.000	0.000	0.000	0	0	
134131	1.167	0.000	0.000	0.000	0.000	0.000	0	0	
134132	1.410	0.000	0.000	0.000	0.000	0.000	0	0	
134133	1.680	0.000	0.000	0.000	0.000	0.000	0	0	
134134	1.977	0.000	0.000	0.000	0.000	0.000	0	0	
134135	2.302	0.000	0.000	0.000	0.000	0.000	0	0	
134136	2.653	0.000	0.000	0.000	0.000	0.000	0	0	
134137	3.032	0.000	0.000	0.000	0.000	0.000	0	0	
134138	3.437	0.000	0.000	0.000	0.000	0.000	0	0	
134139	3.869	0.000	0.000	0.000	0.000	0.000	0	0	
134140	4.329	0.000	0.000	0.000	0.000	0.000	0	0	
134141	4.815	0.000	0.000	0.000	0.000	0.000	0	0	
134142	5.329	0.000	0.000	0.000	0.000	0.000	0	0	
134143	5.869	0.000	0.000	0.000	0.000	0.000	0	0	
134144	6.437	0.000	0.000	0.000	0.000	0.000	0	0	
134145	7.032	0.000	0.000	0.000	0.000	0.000	0	0	
134146	7.653	0.000	0.000	0.000	0.000	0.000	0	0	
134147	8.302	0.000	0.000	0.000	0.000	0.000	0	0	
134148	8.977	0.000	0.000	0.000	0.000	0.000	0	0	
134149	9.680	0.000	0.000	0.000	0.000	0.000	0	0	
134150	10.410	0.000	0.000	0.000	0.000	0.000	0	0	
134151	11.167	0.000	0.000	0.000	0.000	0.000	0	0	
134152	11.950	0.000	0.000	0.000	0.000	0.000	0	0	
134153	12.761	0.000	0.000	0.000	0.000	0.000	0	0	
134154	13.599	0.000	0.000	0.000	0.000	0.000	0	0	
134155	14.461	0.000	0.000	0.000	0.000	0.000	0	0	
134156	15.347	0.000	0.000	0.000	0.000	0.000	0	0	
134157	16.253	0.000	0.000	0.000	0.000	0.000	0	0	
134158	17.177	0.000	0.000	0.000	0.000	0.000	0	0	
134159	18.119	0.000	0.000	0.000	0.000	0.000	0	0	
134160	19.075	0.000	0.000	0.000	0.000	0.000	0	0	
134161	20.043	0.000	0.000	0.000	0.000	0.000	0	0	
134162	21.022	0.000	0.000	0.000	0.000	0.000	0	0	
134163	22.009	0.000	0.000	0.000	0.000	0.000	0	0	
134164	23.003	0.000	0.000	0.000	0.000	0.000	0	0	
134165	24.000	0.000	0.000	0.000	0.000	0.000	0	0	
134166	25.000	0.000	0.000	0.000	0.000	0.000	0	0	
134167	26.000	0.000	0.000	0.000	0.000	0.000	0	0	
134168	27.000	0.000	0.000	0.000	0.000	0.000	0	0	
134169	28.000	0.000	0.000	0.000	0.000	0.000	0	0	
134170	29.000	0.000	0.000	0.000	0.000	0.000	0	0	
134171	30.000	0.000	0.000	0.000	0.000	0.000	0	0	
134172	31.000	0.000	0.000	0.000	0.000	0.000	0	0	
134173	32.000	0.000	0.000	0.000	0.000	0.000	0	0	
134174	33.000	0.000	0.000	0.000	0.000	0.000	0	0	
134175	34.000	0.000	0.000	0.000	0.000	0.000	0	0	
134176	35.000	0.000	0.000	0.000	0.000	0.000	0	0	
134177	36.000	0.000	0.000	0.000	0.000	0.000	0	0	
134178	37.000	0.000	0.000	0.000	0.000	0.000	0	0	
134179	38.000	0.000	0.000	0.000	0.000	0.000	0	0	
134180	39.000	0.000	0.000	0.000	0.000	0.000	0	0	
134181	40.000	0.000	0.000	0.000	0.000	0.000	0	0	
134182	41.000	0.000	0.000	0.000	0.000	0.000	0	0	
134183	42.000	0.000	0.000	0.000	0.000	0.000	0	0	
134184	43.000	0.000	0.000	0.000	0.000	0.000	0	0	
134185	44.000	0.000	0.000	0.000	0.000	0.000	0	0	
134186	45.000	0.000	0.000	0.000	0.000	0.000	0	0	
134187	46.000	0.000	0.000	0.000	0.000	0.000	0	0	
134188	47.000	0.000	0.000	0.000	0.000	0.000	0	0	
134189	48.000	0.000	0.000	0.000	0.000	0.000	0	0	
134190	49.000	0.000	0.000	0.000	0.000	0.000	0	0	
134191	50.000	0.000	0.000	0.000	0.000	0.000	0	0	
134192	51.000	0.000	0.000	0.000	0.000	0.000	0	0	
134193	52.000	0.000	0.000	0.000	0.000	0.000	0	0	
134194	53.000	0.000	0.000	0.000	0.000	0.000	0	0	
134195	54.000	0.000	0.000	0.000	0.000	0.000	0	0	
134196	55.000	0.000	0.000	0.000	0.000	0.000	0	0	
134197	56.000	0.000	0.000	0.000	0.000	0.000	0	0	
134198	57.000	0.000	0.000	0.000	0.000	0.000	0	0	
134199	58.000	0.000	0.000	0.000	0.000	0.000	0	0	
134200	59.000	0.000	0.000	0.000	0.000	0.000	0	0	
134201	60.000	0.000	0.000	0.000	0.000	0.000	0	0	
134202	61.000	0.000	0.000	0.000	0.000	0.000	0	0	
134203	62.000	0.000	0.000	0.000	0.000	0.000	0	0	
134204	63.000	0.000	0.000	0.000	0.000	0.000	0	0	
134205	64.000	0.000	0.000	0.000	0.000	0.000	0	0	
134206	65.000	0.000	0.000	0.000	0.000	0.000	0	0	
134207	66.000	0.000	0.000	0.000	0.000	0.000	0	0	
134208	67.000	0.000	0.000	0.000	0.000	0.000	0	0	
134209	68.000	0.000	0.000	0.000	0.000	0.000	0	0	
134210	69.000	0.000	0.000	0.000	0.000	0.000	0	0	
134211	70.000	0.000	0.000	0.000	0.000	0.000	0	0	
134212	71.000	0.000	0.000	0.000	0.000	0.000	0	0	
134213	72.000	0.000	0.000	0.000	0.000	0.000	0	0	
134214	73.000	0.000	0.000	0.000	0.000	0.000	0	0	
134215	74.000	0.000	0.000	0.000	0.000	0.000	0	0	
134216	75.000	0.000	0.000	0.000	0.000	0.000	0	0	
134217	76.000	0.000	0.000	0.000	0.000	0.000	0	0	
134218	77.000	0.000	0.000	0.000	0.000	0.000	0	0	
134219	77.997	0.000	0.000	0.000	0.000	0.000	0	0	
134220	78.991	0.000	0.000	0.000	0.000	0.000	0	0	
134221	79.978	0.000	0.000	0.000	0.000	0.000	0	0	
134222	80.957	0.000	0.000	0.000	0.000	0.000	0	0	
134223	81.925	0.000	0.000	0.000	0.000	0.000	0	0	
134224	82.881	0.000	0.000	0.000	0.000	0.000	0	0	
134225	83.823	0.000	0.000	0.000	0.000	0.000	0	0	
134226	84.747	0.000	0.000	0.000	0.000	0.000	0	0	
134227	85.653	0.000	0.000	0.000	0.000	0.000	0	0	
134228	86.539	0.000	0.000	0.000	0.000	0.000	0	0	
134229	87.401	0.000	0.000	0.000	0.000	0.000	0	0	
134230	88.239	0.000	0.000	0.000	0.000	0.000	0	0	
134231	89.050	0.000	0.000	0.000	0.000	0.000	0	0	
134232	89.833	0.000	0.000	0.000	0.000	0.000	0	0	
134233	90.590	0.000	0.000	0.000	0.000	0.000	0	0	
134234	91.320	0.000	0.000	0.000	0.000	0.000	0	0	
134235	92.023	0.000	0.000	0.000	0.000	0.000	0	0	
134236	92.698	0.000	0.000	0.000	0.000	0.000	0	0	
134237	93.347	0.000	0.000	0.000	0.000	0.000	0	0	
134238	93.968	0.000	0.000	0.000	0.000	0.000	0	0	
134239	94.563	0.000	0.000	0.000	0.000	0.000	0	0	
134240	95.131	0.000	0.000	0.000	0.000	0.000	0	0	
134241	95.671	0.000	0.000	0.000	0.000	0.000	0	0	
134242	96.185	0.000	0.000	0.000	0.000	0.000	0	0	
134243	96.671	0.000	0.000	0.000	0.000	0.000	0	0	
134244	97.131	0.000	0.000	0.000	0.000	0.000	0	0	
134245	97.563	0.000	0.000	0.000	0.000	0.000	0	0	
134246	97.968	0.000	0.000	0.000	0.000	0.000	0	0	
134247	98.347	0.000	0.000	0.000	0.000	0.000	0	0	
134248	98.698	0.000	0.000	0.000	0.000	0.000	0	0	
134249	99.023	0.000	0.000	0.000	0.000	0.000	0	0	
134250	99.320	0.000	0.000	0.000	0.000	0.000	0	0	
134251	99.590	0.000	0.000	0.000	0.000	0.000	0	0	
134252	99.833	0.000	0.000	0.000	0.000	0.000	0	0	
134253	100.050	0.000	0.000	0.000	0.000	0.000	0	0	
134254	100.239	0.000	0.000	0.000	0.000	0.000	0	0	
134255	100.401	0.000	0.000	0.000	0.000	0.000	0	0	
134256	100.539	0.000	0.000	0.000	0.000	0.000	0	0	
134257	100.653	0.000	0.000	0.000	0.000	0.000	0	0	
134258	100.747	0.000	0.000	0.000	0.000	0.000	0	0	
134259	100.823	0.000	0.000	0.000	0.000	0.000	0	0	
134260	100.881	0.000	0.000	0.000	0.000	0.000	0	0	
134261	100.925	0.000	0.000	0.000	0.000	0.000	0	0	
134262	100.957	0.000	0.000	0.000	0.000	0.000	0	0	
134263	100.978	0.000	0.000	0.000	0.000	0.000	0	0	
134264	100.991	0.000	0.000	0.000	0.000	0.000	0	0	
134265	100.997	0.000	0.000	0.000	0.000	0.000	0	0	
134266	101.000	0.000	0.000	0.000	0.000	0.000	0	0	
134267	101.000	0.000	0.000	0.000	0.000	0.000	0	0	
134268	101.000	0.000	0.000	0.000	0.000	0.000	0	0	
134269	101.000	0.000	0.000	0.000	0.000	0.000	0	0	
134270	101.000	0.001	0.000	0.000	0.000	0.000	0	0	
134271	101.000	0.002	0.000	0.000	0.000	0.000	0	0	
134272	101.000	0.006	0.000	0.000	0.000	0.000	0	0	
134273	101.000	0.011	0.000	0.000	0.000	0.000	0	0	
134274	101.000	0.019	0.000	0.000	0.000	0.000	0	0	
134275	101.000	0.030	0.000	0.000	0.000	0.000	0	0	
134276	101.000	0.046	0.000	0.000	0.000	0.000	0	0	
134277	101.000	0.065	0.000	0.000	0.000	0.000	0	0	
134278	101.000	0.089	0.000	0.000	0.000	0.000	0	0	
134279	101.000	0.118	0.000	0.000	0.000	0.000	0	0	
134280	101.000	0.154	0.000	0.000	0.000	0.000	0	0	
134281	101.000	0.195	0.000	0.000	0.000	0.000	0	0	
134282	101.000	0.244	0.000	0.000	0.000	0.000	0	0	
134283	101.000	0.300	0.000	0.000	0.000	0.000	0	0	
134284	101.000	0.364	0.000	0.000	0.000	0.000	0	0	
134285	101.000	0.437	0.000	0.000	0.000	0.000	0	0	
134286	101.000	0.518	0.000	0.000	0.000	0.000	0	0	
134287	101.000	0.610	0.000	0.000	0.000	0.000	0	0	
134288	101.000	0.711	0.000	0.000	0.000	0.000	0	0	
134289	101.000	0.823	0.000	0.000	0.000	0.000	0	0	
134290	101.000	0.946	0.000	0.000	0.000	0.000	0	0	
134291	101.000	1.082	0.000	0.000	0.000	0.000	0	0	
134292	101.000	1.229	0.000	0.000	0.000	0.000	0	0	
134293	101.000	1.389	0.000	0.000	0.000	0.000	0	0	
134294	101.000	1.562	0.000	0.000	0.000	0.000	0	0	
134295	101.000	1.749	0.000	0.000	0.000	0.000	0	0	
134296	101.000	1.949	0.000	0.000	0.000	0.000	0	0	
134297	101.000	2.162	0.000	0.000	0.000	0.000	0	0	
134298	101.000	2.389	0.000	0.000	0.000	0.000	0	0	
134299	101.000	2.629	0.000	0.000	0.000	0.000	0	0	
134300	101.000	2.882	0.000	0.000	0.000	0.000	0	0	
134301	101.000	3.149	0.000	0.000	0.000	0.000	0	0	
134302	101.000	3.429	0.000	0.000	0.000	0.000	0	0	
134303	101.000	3.722	0.000	0.000	0.000	0.000	0	0	
134304	101.000	4.029	0.000	0.000	0.000	0.000	0	0	
134305	101.000	4.349	0.000	0.000	0.000	0.000	0	0	
134306	101.000	4.682	0.000	0.000	0.000	0.000	0	0	
134307	101.000	5.029	0.000	0.000	0.000	0.000	0	0	
134308	101.000	5.389	0.000	0.000	0.000	0.000	0	0	
134309	101.000	5.762	0.000	0.000	0.000	0.000	0	0	
134310	101.000	6.149	0.000	0.000	0.000	0.000	0	0	
134311	101.000	6.549	0.000	0.000	0.000	0.000	0	0	
134312	101.000	6.962	0.000	0.000	0.000	0.000	0	0	
134313	101.000	7.389	0.000	0.000	0.000	0.000	0	0	
134314	101.000	7.829	0.000	0.000	0.000	0.000	0	0	
134315	101.000	8.282	0.000	0.000	0.000	0.000	0	0	
134316	101.000	8.749	0.000	0.000	0.000	0.000	0	0	
134317	101.000	9.229	0.000	0.000	0.000	0.000	0	0	
134318	101.000	9.722	0.000	0.000	0.000	0.000	0	0	
134319	101.000	10.229	0.000	0.000	0.000	0.000	0	0	
134320	101.000	10.749	0.000	0.000	0.000	0.000	0	0	
134321	101.000	11.282	0.000	0.000	0.000	0.000	0	0	
134322	101.000	11.829	0.000	0.000	0.000	0.000	0	0	
134323	101.000	12.389	0.000	0.000	0.000	0.000	0	0	
134324	101.000	12.962	0.000	0.000	0.000	0.000	0	0	
134325	101.000	13.549	0.000	0.000	0.000	0.000	0	0	
134326	101.000	14.149	0.000	0.000	0.000	0.000	0	0	
134327	101.000	14.762	0.000	0.000	0.000	0.000	0	0	
134328	101.000	15.389	0.000	0.000	0.000	0.000	0	0	
134329	101.000	16.029	0.000	0.000	0.000	0.000	0	0	
134330	101.000	16.682	0.000	0.000	0.000	0.000	0	0	
134331	101.000	17.349	0.000	0.000	0.000	0.000	0	0	
134332	101.000	18.029	0.000	0.000	0.000	0.000	0	0	
134333	101.000	18.722	0.000	0.000	0.000	0.000	0	0	
134334	101.000	19.429	0.000	0.000	0.000	0.000	0	0	
134335	101.000	20.149	0.000	0.000	0.000	0.000	0	0	
134336	101.000	20.882	0.000	0.000	0.000	0.000	0	0	
134337	101.000	21.629	0.000	0.000	0.000	0.000	0	0	
134338	101.000	22.389	0.000	0.000	0.000	0.000	0	0	
134339	101.000	23.162	0.000	0.000	0.000	0.000	0	0	
134340	101.000	23.949	0.000	0.000	0.000	0.000	0	0	
134341	101.000	24.749	0.000	0.000	0.000	0.000	0	0	
134342	101.000	25.562	0.000	0.000	0.000	0.000	0	0	
134343	101.000	26.389	0.000	0.000	0.000	0.000	0	0	
134344	101.000	27.229	0.000	0.000	0.000	0.000	0	0	
134345	101.000	28.082	0.000	0.000	0.000	0.000	0	0	
134346	101.000	28.946	0.000	0.000	0.000	0.000	0	0	
134347	101.000	29.823	0.000	0.000	0.000	0.000	0	0	
134348	101.000	30.711	0.000	0.000	0.000	0.000	0	0	
134349	101.000	31.610	0.000	0.000	0.000	0.000	0	0	
134350	101.000	32.518	0.000	0.000	0.000	0.000	0	0	
134351	101.000	33.437	0.000	0.000	0.000	0.000	0	0	
134352	101.000	34.364	0.000	0.000	0.000	0.000	0	0	
134353	101.000	35.300	0.000	0.000	0.000	0.000	0	0	
134354	101.000	36.244	0.000	0.000	0.000	0.000	0	0	
134355	101.000	37.195	0.000	0.000	0.000	0.000	0	0	
134356	101.000	38.154	0.000	0.000	0.000	0.000	0	0	
134357	101.000	39.118	0.000	0.000	0.000	0.000	0	0	
134358	101.000	40.089	0.000	0.000	0.000	0.000	0	0	
134359	101.000	41.065	0.000	0.000	0.000	0.000	0	0	
134360	101.000	42.046	0.000	0.000	0.000	0.000	0	0	
134361	101.000	43.030	0.000	0.000	0.000	0.000	0	0	
134362	101.000	44.019	0.000	0.000	0.000	0.000	0	0	
134363	101.000	45.011	0.000	0.000	0.000	0.000	0	0	
134364	101.000	46.006	0.000	0.000	0.000	0.000	0	0	
134365	101.000	47.002	0.000	0.000	0.000	0.000	0	0	
134366	101.000	48.001	0.000	0.000	0.000	0.000	0	0	
134367	101.000	49.000	0.000	0.000	0.000	0.000	0	0	
134368	101.000	50.000	0.000	0.000	0.000	0.000	0	0	
134369	101.000	51.000	0.000	0.000	0.000	0.000	0	0	
134370	101.000	52.000	0.000	0.000	0.000	0.000	0	0	
134371	101.000	53.000	0.000	0.000	0.000	0.000	0	0	
134372	101.000	54.000	0.000	0.000	0.000	0.000	0	0	
134373	101.000	55.000	0.000	0.000	0.000	0.000	0	0	
134374	101.000	56.000	0.000	0.000	0.000	0.000	0	0	
134375	101.000	57.000	0.000	0.000	0.000	0.000	0	0	
134376	101.000	58.000	0.000	0.000	0.000	0.000	0	0	
134377	101.000	59.000	0.000	0.000	0.000	0.000	0	0	
134378	101.000	60.000	0.000	0.000	0.000	0.000	0	0	
134379	101.000	61.000	0.000	0.000	0.000	0.000	0	0	
134380	101.000	62.000	0.000	0.000	0.000	0.000	0	0	
134381	101.000	63.000	0.000	0.000	0.000	0.000	0	0	
134382	101.000	64.000	0.000	0.000	0.000	0.000	0	0	
134383	101.000	65.000	0.000	0.000	0.000	0.000	0	0	
134384	101.000	66.000	0.000	0.000	0.000	0.000	0	0	
134385	101.000	67.000	0.000	0.000	0.000	0.000	0	0	
134386	101.000	68.000	0.000	0.000	0.000	0.000	0	0	
134387	101.000	69.000	0.000	0.000	0.000	0.000	0	0	
134388	101.000	70.000	0.000	0.000	0.000	0.000	0	0	
134389	101.000	71.000	0.000	0.000	0.000	0.000	0	0	
134390	101.000	72.000	0.000	0.000	0.000	0.000	0	0	
134391	101.000	73.000	0.000	0.000	0.000	0.000	0	0	
134392	101.000	74.000	0.000	0.000	0.000	0.000	0	0	
134393	101.000	75.000	0.000	0.000	0.000	0.000	0	0	
134394	101.000	76.000	0.000	0.000	0.000	0.000	0	0	
134395	101.000	77.000	0.000	0.000	0.000	0.000	0	0	
134396	101.000	78.000	0.000	0.000	0.000	0.000	0	0	
134397	101.000	79.000	0.000	0.000	0.000	0.000	0	0	
134398	101.000	80.000	0.000	0.000	0.000	0.000	0	0	
134399	101.000	81.000	0.000	0.000	0.000	0.000	0	0	
134400	101.000	82.000	0.000	0.000	0.000	0.000	0	0	
134401	101.000	83.000	0.000	0.000	0.000	0.000	0	0	
134402	101.000	84.000	0.000	0.000	0.000	0.000	0	0	
134403	101.000	85.000	0.000	0.000	0.000	0.000	0	0	
134404	101.000	86.000	0.000	0.000	0.000	0.000	0	0	
134405	101.000	87.000	0.000	0.000	0.000	0.000	0	0	
134406	101.000	88.000	0.000	0.000	0.000	0.000	0	0	
134407	101.000	89.000	0.000	0.000	0.000	0.000	0	0	
134408	101.000	90.000	0.000	0.000	0.000	0.000	0	0	
134409	101.000	91.000	0.000	0.000	0.000	0.000	0	0	
134410	101.000	92.000	0.000	0.000	0.000	0.000	0	0	
134411	101.000	93.000	0.000	0.000	0.000	0.000	0	0	
134412	101.000	94.000	0.000	0.000	0.000	0.000	0	0	
134413	101.000	95.000	0.000	0.000	0.000	0.000	0	0	
134414	101.000	96.000	0.000	0.000	0.000	0.000	0	0	
134415	101.000	97.000	0.000	0.000	0.000	0.000	0	0	
134416	101.000	98.000	0.000	0.000	0.000	0.000	0	0	
134417	101.000	99.000	0.000	0.000	0.000	0.000	0	0	
134418	101.000	100.000	0.000	0.000	0.000	0.000	0	0	
134419	101.000	101.000	0.000	0.000	0.000	0.000	0	0	
134420	101.000	102.000	0.000	0.000	0.000	0.000	0	0	
134421	101.000	103.000	0.000	0.000	0.000	0.000	0	0	
134422	101.000	104.000	0.000	0.000	0.000	0.000	0	0	
134423	101.000	105.000	0.000	0.000	0.000	0.000	0	0	
134424	101.000	106.000	0.000	0.000	0.000	0.000	0	0	
134425	101.000	107.000	0.000	0.000	0.000	0.000	0	0	
134426	101.000	108.000	0.000	0.000	0.000	0.000	0	0	
134427	101.000	109.000	0.000	0.000	0.000	0.000	0	0	
134428	101.000	110.000	0.000	0.000	0.000	0.000	0	0	
134429	101.000	111.000	0.000	0.000	0.000	0.000	0	0	
134430	101.000	112.000	0.000	0.000	0.000	0.000	0	0	
134431	101.000	113.000	0.000	0.000	0.000	0.000	0	0	
134432	101.000	114.000	0.000	0.000	0.000	0.000	0	0	
134433	101.000	115.000	0.000	0.000	0.000	0.000	0	0	
134434	101.000	116.000	0.000	0.000	0.000	0.000	0	0	
134435	101.000	117.000	0.000	0.000	0.000	0.000	0	0	
134436	101.000	118.000	0.000	0.000	0.000	0.000	0	0	
134437	101.000	119.000	0.000	0.000	0.000	0.000	0	0	
134438	101.000	120.000	0.000	0.000	0.000	0.000	0	0	
134439	101.000	121.000	0.000	0.000	0.000	0.000	0	0	
134440	101.000	122.000	0.000	0.000	0.000	0.000	0	0	
134441	101.000	123.000	0.000	0.000	0.000	0.000	0	0	
134442	101.000	124.000	0.000	0.000	0.000	0.000	0	0	
134443	101.000	125.000	0.000	0.000	0.000	0.000	0	0	
134444	101.000	126.000	0.000	0.000	0.000	0.000	0	0	
134445	101.000	127.000	0.000	0.000	0.000	0.000	0	0	
134446	101.000	128.000	0.000	0.000	0.000	0.000	0	0	
134447	101.000	129.000	0.000	0.000	0.000	0.000	0	0	
134448	101.000	130.000	0.000	0.000	0.000	0.000	0	0	
134449	101.000	131.000	0.000	0.000	0.000	0.000	0	0	
134450	101.000	132.000	0.000	0.000	0.000	0.000	0	0	
134451	101.000	133.000	0.000	0.000	0.000	0.000	0	0	
134452	101.000	134.000	0.000	0.000	0.000	0.000	0	0	
134453	101.000	135.000	0.000	0.000	0.000	0.000	0	0	
134454	101.000	136.000	0.000	0.000	0.000	0.000	0	0	
134455	101.000	137.000	0.000	0.000	0.000	0.000	0	0	
134456	101.000	138.000	0.000	0.000	0.000	0.000	0	0	
134457	101.000	139.000	0.000	0.000	0.000	0.000	0	0	
134458	101.000	140.000	0.000	0.000	0.000	0.000	0	0	
134459	101.000	141.000	0.000	0.000	0.000	0.000	0	0	
134460	101.000	142.000	0.000	0.000	0.000	0.000	0	0	
134461	101.000	143.000	0.000	0.000	0.000	0.000	0	0	
134462	101.000	144.000	0.000	0.000	0.000	0.000	0	0	
134463	101.000	145.000	0.000	0.000	0.000	0.000	0	0	
134464	101.000	146.000	0.000	0.000	0.000	0.000	0	0	
134465	101.000	147.000	0.000	0.000	0.000	0.000	0	0	
134466	101.000	148.000	0.000	0.000	0.000	0.000	0	0	
134467	101.000	149.000	0.000	0.000	0.000	0.000	0	0	
134468	101.000	150.000	0.000	0.000	0.000	0.000	0	0	
134469	101.000	151.000	0.000	0.000	0.000	0.000	0	0	
134470	101.000	152.000	0.000	0.000	0.000	0.000	0	0	
134471	101.000	153.000	0.000	0.000	0.000	0.000	0	0	
134472	101.000	153.999	0.000	0.000	0.000	0.000	0	0	
134473	101.000	154.998	0.000	0.000	0.000	0.000	0	0	
134474	101.000	155.994	0.000	0.000	0.000	0.000	0	0	
134475	101.000	156.989	0.000	0.000	0.000	0.000	0	0	
134476	101.000	157.981	0.000	0.000	0.000	0.000	0	0	
134477	101.000	158.970	0.000	0.000	0.000	0.000	0	0	
134478	101.000	159.954	0.000	0.000	0.000	0.000	0	0	
134479	101.000	160.935	0.000	0.000	0.000	0.000	0	0	
134480	101.000	161.911	0.000	0.000	0.000	0.000	0	0	
134481	101.000	162.882	0.000	0.000	0.000	0.000	0	0	
134482	101.000	163.846	0.000	0.000	0.000	0.000	0	0	
134483	101.000	164.805	0.000	0.000	0.000	0.000	0	0	
